,Nation,NumFemaleStudies per Nation
0,Italy,582
1,United States,176
2,Spain,133
3,Belgium,109
4,France,106
5,Germany,102
6,United Kingdom,102
7,Canada,75
8,Poland,71
9,Netherlands,59
10,Austria,56
11,Australia,54
12,Czechia,49
13,Hungary,48
14,Israel,47
15,South Korea,46
16,Switzerland,45
17,Russian Federation,42
18,Russia,35
19,Sweden,35
20,Denmark,35
21,Japan,35
22,Portugal,35
23,China,32
24,Ireland,32
25,Brazil,32
26,Greece,31
27,Turkey,28
28,Taiwan,28
29,Norway,23
30,Mexico,23
31,Finland,21
32,Bulgaria,20
33,Argentina,19
34,Chile,19
35,Ukraine,19
36,South Africa,19
37,Romania,18
38,Peru,17
39,New Zealand,15
40,Singapore,14
41,Slovenia,13
42,Colombia,13
43,Slovakia,12
44,Serbia,12
45,Lithuania,11
46,India,10
47,Croatia,10
48,Estonia,10
49,Thailand,9
50,Latvia,8
51,Puerto Rico,6
52,Bosnia and Herzegovina,6
53,Belarus,5
54,Czech Republic,5
55,Philippines,4
56,Malaysia,4
57,Guatemala,4
58,Lebanon,4
59,"Korea, Republic of",4
60,Jordan,3
61,Panama,3
62,Georgia,3
63,Egypt,3
64,Sri Lanka,2
65,Bahamas,2
66,Malta,2
67,Monaco,2
68,Saudi Arabia,2
69,Qatar,1
70,Venezuela,1
71,Cyprus,1
72,Tunisia,1
73,Mayotte,1
74,North Macedonia,1
75,El Salvador,1
76,Costa Rica,1
77,Kazakhstan,1
