,Main Funder,Collaborating Funder,Number of Collaborations
0,AMRC - Association of Medical Research Charities,European Organisation for Research and Treatment of Cancer,120
1,ICRP - International Cancer Research Partnership,National Cancer Institute,116
2,NIH - National Institutes of Health,National Cancer Institute,116
3,US Federal Funders,National Cancer Institute,116
4,EC & ERC - European Union,European Commission,45
5,cOAlition S,European Commission,45
6,NIHR - National Institute for Health Research,National Institute for Health and Care Research,5
7,HRA - Health Research Alliance,Istituto Neurologico Carlo Besta,4
8,UKRI - UK Research and Innovation,European Organisation for Research and Treatment of Cancer,2
9,CDC - Centers for Disease Control and Prevention,European Organisation for Research and Treatment of Cancer,1
10,DoD - United States Department of Defense,United States Department of Defense,1
